,City,lat,lng,Movehub.Rating,Purchase.Power,Health.Care,Pollution,Quality.of.Life,Crime.Rating,Sunny_days,Average_internet_Speed,D_1M,T_1M,Peace_Index_2020,Happiness_Index
52,Paris,48.856614,2.3522219,95.92,47.08,83.33,59.18,52.62,53.75,1662,25.2,511,204183,1.93,6.592
53,Marseille,43.296482,5.36978,81.62,57.05,77.53,25.59,59.87,47.27,2836,25.2,511,204183,1.93,6.592
54,Strasbourg,48.5734053,7.7521113,84.18,72.23,42.81,39.91,66.5,47.27,2395.133333,25.2,511,204183,1.93,6.592
55,Nice,43.7101728,7.2619532,82.55,49.52,87.95,59.19,68.34,47.27,2395.133333,21.59222798,236.386875,192576.118,1.905913295,6.141954286
56,Berlin,52.5200066,13.404954,89.54,68.72,65.48,16.05,91.17,24.18,1626,22.6,117,229855,1.494,6.985
57,Stuttgart,48.7758459,9.1829321,82.48,65.82,80.38,16.89,90.4,23.96,2395.133333,22.6,117,229855,1.494,6.985
58,Dusseldorf,51.2277411,6.7734556,83.45,72.52,75.98,8.61,88.02,15.34,2395.133333,22.6,117,229855,1.494,6.985
59,Frankfurt,50.1109221,8.6821267,82.75,62.6,65.33,14.54,88.04,27.55,1662,22.6,117,229855,1.494,6.985
60,Hamburg,53.5510846,9.9936819,84.66,61.13,82.41,67.78,87.18,25.52,2395.133333,22.6,117,229855,1.494,6.985
61,Cologne,50.937531,6.9602786,82.18,59.18,67.88,68.41,82.82,27.08,2395.133333,22.6,117,229855,1.494,6.985
62,Aachen,50.7753455,6.0838868,81.64,60.55,73.25,11.69,90.52,15.34,2395.133333,22.6,117,229855,1.494,6.985
63,Munich,48.1351253,11.5819805,86,63.28,88.43,43.08,90.08,15.34,2395.133333,22.6,117,229855,1.494,6.985
64,Dresden,51.0504088,13.7372621,84.75,82.6,78.29,16.89,90.21,15.34,2395.133333,22.6,117,229855,1.494,6.985
65,Thessaloniki,40.6400629,22.9444191,73.76,24.58,61.94,34.62,43.61,41.64,2395.133333,23.8,48,146743,1.877,5.287
66,Athens,37.9838096,23.7275388,76.78,26.05,46.11,27.44,30.57,57.49,2773,23.8,48,146743,1.877,5.287
67,Budapest,47.497912,19.040235,74.13,24.59,60.42,68.38,46.58,34.18,1988,32.7,115,91618,1.559,5.758
68,Noida,28.5355161,77.3910265,82.34,57.88,56.34,89.1,42.7,75,2395.133333,6.8,82,67379,2.628,4.015
69,Pune,18.5204303,73.8567437,79.2,37.96,66.62,79.24,43.84,41.37,2395.133333,6.8,82,67379,2.628,4.015
70,Hyderabad,17.385044,78.486671,79.35,39.93,63.89,89.72,54.97,36.9,2395.133333,6.8,82,67379,2.628,4.015
71,Gurgaon,28.4594965,77.0266383,77.88,37.08,77.18,27.78,42.77,65.51,2395.133333,6.8,82,67379,2.628,4.015
72,Ahmedabad,23.022505,72.5713621,76.16,33.69,61.67,68.21,57.01,18.18,2395.133333,6.8,82,67379,2.628,4.015
73,Indore,22.7195687,75.8577258,76.38,35.79,31.34,59.42,48.53,16.93,2395.133333,6.8,82,67379,2.628,4.015
74,Chennai,13.0826802,80.2707184,78.12,32.91,67.49,78.07,43.89,33.22,2395.133333,6.8,82,67379,2.628,4.015
75,Vadodara,22.3071588,73.1812187,76.54,36.37,77.87,92.42,54.98,32.03,2395.133333,6.8,82,67379,2.628,4.015
76,Kolkata,22.572646,88.363895,75.35,28.8,31.29,72.59,25.64,43.33,2107.5,6.8,82,67379,2.628,4.015
77,Mumbai,19.0759837,72.8776559,77.13,28.83,58.41,70.49,26.43,34.63,2583.5,6.8,82,67379,2.628,4.015
78,Bangalore,12.9715987,77.5945627,77.92,38.67,69.38,80.94,52.11,51.03,2361,6.8,82,67379,2.628,4.015
79,Delhi,28.7040592,77.1024902,77.12,34.39,74.99,73.03,42.45,52.56,2684.6,6.8,82,67379,2.628,4.015
80,Kochi,9.9312328,76.2673041,74.27,28.98,70.23,71.78,45.13,16.93,2395.133333,6.8,82,67379,2.628,4.015
81,Jakarta,-6.2087634,106.845599,69.15,17.38,38.33,57.91,15.66,48.27,2983.3,6.9,45,14651,1.831,5.192
82,Tehran,35.6891975,51.3889736,72.13,18.09,43.98,87.62,14.33,54.16,2826.1,21.59222798,357,53165,2.672,4.548
83,Dublin,53.3498053,-6.2603097,90.45,50.13,41.12,30.54,65.27,48.31,1453,16.2,373,287251,1.375,7.021
84,Belfast,54.597285,-5.93012,82.15,52.8,33.33,29.24,80.55,34.06,2395.133333,16.2,373,287251,1.375,7.021
85,Cork,32.80719,-96.7963929,83.55,47.98,64.32,18.48,76.37,35.83,2395.133333,16.2,373,287251,1.375,7.021
86,Galway,53.270668,-9.0567905,83.19,58.59,52.97,52.47,77.85,40.78,2395.133333,16.2,373,287251,1.375,7.021
87,Haifa,32.7940463,34.989571,78.84,44.03,72.69,29.86,52.08,46.59,2395.133333,13.6,238,455094,2.775,7.139
88,Jerusalem,31.768319,35.21371,78.28,37.22,79.4,64.44,50.87,46.59,2395.133333,13.6,238,455094,2.775,7.139
89,Rome,41.9027835,12.4963655,79.07,32.72,61.64,19.84,26.8,62.34,2473,19.9,604,221627,1.69,6.223
90,Milan,45.4642035,9.189982,81.9,43.43,71.36,22.09,40.8,56.2,1915,19.9,604,221627,1.69,6.223
91,Naples,40.8761341,14.5198315,76.27,35.38,41.67,12.01,42.92,56.67,2375,19.9,604,221627,1.69,6.223
92,Venice,45.4408474,12.3155151,78.82,45.69,72.67,11.48,70.34,21.48,2395.133333,19.9,604,221627,1.69,6.223
93,Florence,43.7695604,11.2558136,76.63,35.31,67.11,29.44,53.73,39.58,2395.133333,19.9,604,221627,1.69,6.223
94,Tokyo,35.6761919,139.6503106,80,47.57,71.53,30.54,69.29,13.91,1876.7,33,13,19160,1.36,5.886
95,Amman,31.9539494,35.910635,74.4,21.22,75.37,61.63,39.57,46.74,2395.133333,10.4,32,151314,1.958,4.906
96,Nairobi,-1.2920659,36.8219462,71.12,15.82,61.34,39.16,14.36,71.88,2491.9,10.1,15,11403,2.375,4.509
97,Vilnius,54.6871555,25.2796514,72.45,24.17,77.31,82.08,64.19,27.93,1691,21.59222798,42,323384,1.705,6.149
98,Luxembourg,49.815273,6.129583,85.85,76.44,59.72,57.17,81.41,18.75,2395.133333,21.59222798,211,1488048,1.905913295,7.09
99,Kuala Lumpur,3.139003,101.686855,77.88,37.09,56.21,69.65,42.4,68.91,2395.133333,11.5,6,57345,1.525,5.339
100,Sliema,35.9110081,14.502904,81.05,52.84,72.22,67.78,65.03,22.19,2395.133333,21.59222798,102,668398,1.905913295,6.726
101,Victoria,-37.4713077,144.7851531,81.44,52.91,79.63,68.93,80.87,42.45,2395.133333,21.59222798,102,668398,1.905913295,6.726
102,Mexico City,19.4326077,-99.133208,75.07,24.28,61.76,18.95,27.91,77.86,2555,14.9,665,16829,2.572,6.595
103,Ulaanbaatar,47.8863988,106.9057439,68.29,15.35,43.06,55.87,24.5,46.87,2791.5,21.59222798,236.386875,24399,1.723,5.285
